HISSE KODU,HISSE ADI,TOPLAM PAY SAYISI,DOLAŞIMDAKİ PAY ORANI,HALKA ACIK SENET,HALKA ACIK DEGER,PIYASA DEGERI
THYAO.E,TURK HAVA YOLLARI,1.380.000.000,0.5,690.000.000,213.210.000.000,426.420.000.000
TKFEN.E,TEKFEN HOLDING,370.000.000,0.48,177.600.000,11.322.000.000,23.587.500.000
TMSN.E,TUMOSAN MOTOR VE TRAKTOR,115.000.000,0.29,33.350.000,3.918.625.000,13.512.500.000
TOASO.E,TOFAS OTO. FAB.,500.000.000,0.24,120.000.000,25.920.000.000,108.000.000.000
TSKB.E,T.S.K.B.,2.800.000.000,0.39,1.092.000.000,14.840.280.000,38.052.000.000
TSPOR.E,TRABZONSPOR SPORTIF,7.500.000.000,0.49,3.675.000.000,4.189.500.000,8.550.000.000
TTKOM.E,TURK TELEKOM,3.500.000.000,0.13,455.000.000,22.613.500.000,173.950.000.000
TTRAK.E,TURK TRAKTOR,100.066.875,0.24,24.016.050,16.583.082.525,69.096.177.188
TUKAS.E,TUKAS,1.472.310.000,0.39,574.200.900,3.824.177.994,9.805.584.600
TUPRS.E,TUPRAS,1.926.795.598,0.49,944.129.843,135.199.393.520,275.917.129.634
TURSG.E,TURKIYE SIGORTA,5.000.000.000,0.18,900.000.000,15.174.000.000,84.300.000.000
ULKER.E,ULKER BISKUVI,369.275.855,0.39,144.017.583,17.382.922.322,44.571.595.698
VAKBN.E,VAKIFLAR BANKASI,9.915.921.523,0.06,594.955.291,15.421.241.152,257.020.685.864
VESTL.E,VESTEL,335.456.275,0.45,150.955.324,9.932.860.303,22.073.022.895
YEOTK.E,YEO TEKNOLOJI ENERJI,355.000.000,0.36,127.800.000,6.779.790.000,18.832.750.000
YKBNK.E,YAPI VE KREDI BANK.,8.447.051.284,0.39,3.294.350.001,106.934.601.025,274.191.284.679
ZOREN.E,ZORLU ENERJI,5.000.000.000,0.36,1.800.000.000,7.578.000.000,21.050.000.000
