SOZLESME KODU,PAZAR,PAZAR SEGMENTI,SOZLESME TIPI,DAYANAK VARLIK,SOZLESME SINIFI,OPSIYON TIPI,VADE TARIHI,SON ISLEM TARIHI,OPSIYON TURU,KULLANIM FIYATI,SOZLESME GRUBU,SOZLESME GRUP NO,SOZLESME BUYUKLUGU,DURUM,SOZLESME TURU,MAKSIMUM EMIR MIKTARI,KULLANIM FIYATI ONDALIK HANESI,UZLASMA TIPI,PARA BIRIMI,SON UZLASMA FIYATI,ALT LIMIT,UST LIMIT,FIYAT ADIMI,FIYAT ONDALIK HANESI,TUREV SEVIYESI,ESNEK SOZLESME,YAKIN VADE SOZLESME(M1),UZAK VADE SOZLESME(M2),NOMINAL DEGER,POZISYON KAPAMA GUNU,TAKAS GUNU,BIRIKMIS FAIZ
CONTRACT CODE,MARKET,MARKET SEGMENT,INSTRUMENT TYPE,UNDERLYING SECURITY,INSTRUMENT CLASS,OPTION TYPE,MATURITY DATE,LAST TRADE DATE,OPTION TYPE,STRIKE PRICE,CONTRACT GROUP,CONTRACT GROUP NUMBER,CONTRACT SIZE,STATUS,FUTURE/OPTION,MAXIMUM BLOCK SIZE,STRIKE PRICE DECIMAL,SETTLEMENT TYPE,CURRENCY,LAST SETTLEMENT PRICE,LOW LIMIT,UP LIMIT,TICK PRICE,PRICE DECIMAL,DERIVATIVE LEVEL,FLEXIBLE PRODUCT,NEAREST MONTH CONTRACT(M1),SECOND NEAREST MONTH CONTRACT(M2),NOTIONAL VALUE,RESET DATE,DELIVERY DATE,ACCRUED INTEREST
F_AEFES0924,D_EQ,SSF,D_EQ_FPD,AEFES.E,DE_AEFES_FPD,,2024-09-30,2024-09-30,,0,S,0,100,A,Future,0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50,,Physical Delivery,TRY,207.01,186.31,227.71,0.01,2,1,N,,,100, , ,
F_AEFES1024,D_EQ,SSF,D_EQ_FPD,AEFES.E,DE_AEFES_FPD,,2024-10-31,2024-10-31,,0,S,0,100,A,Future,0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50,,Physical Delivery,TRY,215.75,194.18,237.32,0.01,2,1,N,,,100, , ,
F_AEFES1124,D_EQ,SSF,D_EQ_FPD,AEFES.E,DE_AEFES_FPD,,2024-11-29,2024-11-29,,0,S,0,100,A,Future,0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50,,Physical Delivery,TRY,227.63,204.87,250.39,0.01,2,1,N,,,100, , ,
F_AKBNK0924,D_EQ,SSF,D_EQ_FPD,AKBNK.E,DE_AKBNK_FPD,,2024-09-30,2024-09-30,,0,S,0,100,A,Future,0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50,,Physical Delivery,TRY,61.79,55.62,67.96,0.01,2,1,N,,,100, , ,
F_AKBNK1024,D_EQ,SSF,D_EQ_FPD,AKBNK.E,DE_AKBNK_FPD,,2024-10-31,2024-10-31,,0,S,0,100,A,Future,0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50,,Physical Delivery,TRY,64.12,57.71,70.53,0.01,2,1,N,,,100, , ,
F_AKBNK1124,D_EQ,SSF,D_EQ_FPD,AKBNK.E,DE_AKBNK_FPD,,2024-11-29,2024-11-29,,0,S,0,100,A,Future,0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50,,Physical Delivery,TRY,66.04,59.44,72.64,0.01,2,1,N,,,100, , ,
F_AKSEN0924,D_EQ,SSF,D_EQ_FPD,AKSEN.E,DE_AKSEN_FPD,,2024-09-30,2024-09-30,,0,S,0,100,A,Future,0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50,,Physical Delivery,TRY,38.87,34.99,42.75,0.01,2,1,N,,,100, , ,
F_AKSEN1024,D_EQ,SSF,D_EQ_FPD,AKSEN.E,DE_AKSEN_FPD,,2024-10-31,2024-10-31,,0,S,0,100,A,Future,0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50,,Physical Delivery,TRY,40.33,36.3,44.36,0.01,2,1,N,,,100, , ,
F_AKSEN1124,D_EQ,SSF,D_EQ_FPD,AKSEN.E,DE_AKSEN_FPD,,2024-11-29,2024-11-29,,0,S,0,100,A,Future,0.01-2.5:40000&2.5-5:20000&5-10:10000&10-20:5000&20-40:2500&40-80:1250&80-150:750&150-250:350&250-500:200&500-750:125&750-1000:75&1000-99999999.99:50,,Physical Delivery,TRY,41.5,37.35,45.65,0.01,2,1,N,,,100, , ,
