ISLEM KODU
ADEL.E
AEFES.E
AGHOL.E
AGROT.E
AKBNK.E
AKFGY.E
AKFYE.E
AKSA.E
AKSEN.E
ALARK.E
ALFAS.E
ALTNY.E
ANSGR.E
ARCLK.E
ARDYZ.E
ASELS.E
ASTOR.E
BERA.E
BIMAS.E
BINHO.E
BJKAS.E
BRSAN.E
BRYAT.E
BTCIM.E
CANTE.E
CCOLA.E
CIMSA.E
CLEBI.E
CWENE.E
DOAS.E
DOHOL.E
ECILC.E
EGEEN.E
EKGYO.E
ENERY.E
ENJSA.E
ENKAI.E
EREGL.E
EUPWR.E
FENER.E
FROTO.E
GARAN.E
GESAN.E
GOLTS.E
GUBRF.E
HALKB.E
HEKTS.E
ISCTR.E
ISMEN.E
KARSN.E
KCAER.E
KCHOL.E
KLSER.E
KONTR.E
KONYA.E
KOZAA.E
KOZAL.E
KRDMD.E
KTLEV.E
LMKDC.E
MAVI.E
MGROS.E
MIATK.E
MPARK.E
OBAMS.E
ODAS.E
OTKAR.E
OYAKC.E
PAPIL.E
PEKGY.E
PETKM.E
PGSUS.E
REEDR.E
RGYAS.E
SAHOL.E
SASA.E
SISE.E
SKBNK.E
SMRTG.E
SOKM.E
TABGD.E
TAVHL.E
TCELL.E
THYAO.E
TKFEN.E
TMSN.E
TOASO.E
TSKB.E
TTKOM.E
TTRAK.E
TUKAS.E
TUPRS.E
TURSG.E
ULKER.E
VAKBN.E
VESBE.E
VESTL.E
YEOTK.E
YKBNK.E
ZOREN.E
