Hisse,Link,Pay Grubu,İmtiyaz Türü,Borsada işlem görüp görmediği
MEGA METAL SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c5594ca644015964a5bef50e57,A,Oy hakkı imtiyazı ve yönetim kuruluna aday gösterme imtiyazı,İşlem Görmüyor
MEGA POLİETİLEN KÖPÜK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141e536460141ee602f162cdb,A,VAR,İşlem Görmüyor
MEKA BETON SANTRALLERİ İMALAT SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c51018adff79d0f2d15,A,A grubu paylarının yönetim kuruluna aday gösterme ve genel kurulda oy imtiyazı vardır. Her bir A grubu pay sahibine 5 oy imtiyazı vardır.,İşlem Görmüyor
MENDERES TEKSTİL SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1422d986e01425bfb19b05165,A,Yönetim Kurulu üyelerinin seçiminde aday gösterme imtiyazı vardır.,İşlem Görmüyor
MEPET METRO PETROL VE TESİSLERİ SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416ea253f418ae,A,Yönetim Kurulu Üye Aday gösterme,İşlem Görmüyor
MERCAN KİMYA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4782a4d580178ee32b32864d5,A,,
MERİT TURİZM YATIRIM VE İŞLETME A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7101412b9f84390347,A,Yönetim Kurulu Üyelerinin tam sayı ve çoğunluk oluşturacak biçimde yarıdan fazlası 5A Grubu pay sahiplerinin göstereceği adaylar arasından seçilir.,İşlem Görmüyor
MERKO GIDA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4701412bf3fc980553,-,yok,İşlem Görüyor
METEMTUR YATIRIM ENERJİ TURİZM VE İNŞAAT A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c0140f2f8fdcd0002,-,,İşlem Görüyor
METRO TİCARİ VE MALİ YATIRIMLAR HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416e9a320e1649,-,Yok,İşlem Görüyor
METRO YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14158e41f01415b1cecc4619f,A,Yönetim kurulu üye seçiminde imtiyaz,İşlem Görmüyor
MHR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c486d22a3a018b03ad439129a9,A,Yönetim Kuruluna Aday Gösterme,İşlem Görmüyor
MİA TEKNOLOJİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47afb298a017cbcef284245ba,A,İMTİYAZLI,İşlem Görmüyor
MİGROS TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141462df2014150162e1c3424,-,Yoktur,Seçim Yapınız
