Hisse,Link,Pay Grubu,İmtiyaz Türü,Borsada işlem görüp görmediği
QNB FİNANSBANK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240e95dc90140ee076f400178,-,YOKTUR,İşlem Görüyor
QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c469cee2a4016b1c1dc11f2b03,A,İmtiyazlı,İşlem Görmüyor
RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47afb298b017bcfa8c4e96550,A,VAR,İşlem Görmüyor
RAL YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c0141029be169015f,A,Yönetim Kuruluna Aday Gösterme İmtiyazı Bulunmaktadır.,İşlem Görmüyor
RAY SİGORTA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241733d4201417ddf67f8288c,-,Yoktur,İşlem Görüyor
REEDER TEKNOLOJİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c53018a73739d9104a8,A,,
REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee847b0140f20278c00023,A,Yönetim Kurulu Seçimi,İşlem Görmüyor
REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140ee847b0140f203980d0030,A,Yönetim Kurulu Seçimi,İşlem Görmüyor
RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241e538ab0141ef77414543c5,A,,İşlem Görmüyor
ROYAL HALI İPLİK TEKSTİL MOBİLYA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2416e696c01416f75fb677481,A,İmtiyazlı,İşlem Görmüyor
RÖNESANS GAYRİMENKUL YATIRIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241b612d80141d9a52e2a2727,A,,İşlem Görmüyor
RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2486ec9ba0148c19eb7eb1933,A,Oy İmtiyazı,İşlem Görmüyor
RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47d3bee50017d8f777c171313,A,İmtiyazlı,İşlem Görmüyor
SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c55fc6011101602fcafb57255a,A,"Yönetim Kurulu üyelerinin seçiminde aday gösterme imtiyazı, Genel Kurul toplantılarında oy hakkı imtiyazı, tasfiye kararı alınmasında ve tasfiye memurlarının seçiminde imtiyazı vardır.",İşlem Görmüyor
SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a143371eea0143532e82ac510b,A,İmtiyazlı,İşlem Görmüyor
SANİCA ISI SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c5830502c20183cb8491655a67,A,Yönetim Kurulu Üye Seçimi-Genel Kurul Oy İmtiyazı,İşlem Görmüyor
SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141733b560141741ee61b25bd,A,YÖNETİM KURULU ÜYESİ SEÇİMİ VE OYDA İMTİYAZ,İşlem Görmüyor
SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a242140a92014223b5b91333e8,A,Oy Hakkı /Yönetim Kuruluna Aday Gösterme ve Seçme,İşlem Görmüyor
SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9b01415fde1bcc2fce,A,OY HAKKINDA İMTİYAZ VARDIR,İşlem Görmüyor
SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7101410294f924012d,A,Yönetim Kurulu Aday TEspitinde İmtiyaz,İşlem Görmüyor
SASA POLYESTER SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240ee866c0140f20abd9500cc,-,Yok,İşlem Görüyor
SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9901416000c2de30f0,A,VAR,İşlem Görmüyor
SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48304fe9e0183ac70038e4941,A,Oyda İmtiyaz/Yönetim Kurulu Üyesi Aday Göstermede İmtiyaz,İşlem Görmüyor
SEĞMEN KARDEŞLER GIDA ÜRETİM VE AMBALAJ SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48c3efabf019017378c962a6d,A,Genel Kurul toplantılarında her bir A grubu pay sahibine 5 oy hakkı ve Yönetim Kurulu üyeliğine aday gösterme.,İşlem Görmüyor
SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/1DE05DAA83C4073AE0530A4A622A2EBD,-,İmtiyazsız,İşlem Görüyor
SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2416e697d01416ec00e101dce,A,İmtiyazlı,İşlem Görmüyor
SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141733b51014173e7419c13f1,A,VAR,İşlem Görmüyor
SELVA GIDA SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c5794d3d6a0179fb3f31d744cd,A,A Grubu paylar Ana Sözleşme'nin 7. ve 15. maddeleri çerçevesinde Yönetim Kurulu üyelerinin belirlenmesi ve oy hakkı kullanımında imtiyaza sahiptir. İmtiyazlı (Oy Hakkı 1 hisse 5 Oy),İşlem Görmüyor
SENKRON SİBER GÜVENLİK YAZILIM VE BİLİŞİM ÇÖZÜMLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/402821824bf524dd014c27907cd65b79,A,GENEL KURULDA OY VE YÖNETİM KURULUNA ADAY GÖSTERME İMTİYAZI,İşlem Görmüyor
SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696501416f80a3377c4b,A,Yönetim Kurulu Üye Seçiminde Aday Gösterme İmtiyazı,İşlem Görmüyor
SEYİTLER KİMYA SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/402821824da3aa97014f16c428d14bcf,A GRUBU,Yönetim Kurulu Üyelerinin seçiminde aday gösterme imtiyazı. Genel Kurul Toplantılarında Oy hakkı imtiyazı. Tasfiye kararı alınmasında ve tasfiye memurlarını gösterme imtiyazı vardır.,İşlem Görmüyor
SİLVERLİNE ENDÜSTRİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a243dd5e8f01440734fd5613db,A,OY HAKKI,İşlem Görmüyor
SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14184e9cf01419c0168dd5a87,A,Yönetim Kurulu'na aday gösterme,İşlem Görmüyor
SKYALP FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9b01415ff295793adc,A,VAR,İşlem Görmüyor
SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47d3bee4e017f49ce882e7b01,A,Oy imtiyazı,İşlem Görmüyor
SMARTİKS YAZILIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c569cee403016a6d8db5035804,A,Genel Kurulda 15 oy hakkı,İşlem Görmüyor
SODAŞ SODYUM SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201412ad04fdc071d,A,"1.YNT.KRL.SEÇİMİ:Yönetim Kurulunun çoğunluğu ""A"" grubu pay sahiplerinin göstereceği adaylar arasından seçilmektedir. 2.OY KULLANMA: Genel Kurul toplantılarında hazır bulunan ""A"" grubu pay sahiplerinin her bir oyu 10 (on) oy olarak sayılmaktadır. 3.KAR DAĞITIMI:Dağıtılabilir kar matrahının %10'u ""A"" grubu pay sahiplerine dağıtılır",İşlem Görmüyor
SÖKE DEĞİRMENCİLİK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c552495f640152d616d67a0b95,A,Yönetim Kuruluna Aday Gösterme,İşlem Görmüyor
SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f275530140f27bc043017d,A,Kar Payı İmtiyazı,İşlem Görmüyor
SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c01412ad6196104d2,-,,
SÖNMEZ PAMUKLU SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c01412ad919a504dd,-,,
SUMAŞ SUNİ TAHTA VE MOBİLYA SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141e536460141ea4aa4271f3b,-,yok,İşlem Görüyor
SUN TEKSTİL SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47f7cb4920180234f4d1064b4,A,"A grubu paylar, Şirket esas sözleşmenin 8. maddesi uyarınca yönetim kurulu üyelerinin seçiminde ve 12. maddesi uyarınca genel kurulda oy hakkında (5 Oy) imtiyaza sahiptir.",İşlem Görmüyor
SUR TATİL EVLERİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c48b2fa25a018c33a0808a03b0,A,Yönetim Kurulu Üyesi Seçimi,İşlem Görmüyor
SUWEN TEKSTİL SANAYİ PAZARLAMA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c47902e75601792308abd41e4a,A,İmtiyazlı,İşlem Görmüyor
ŞEKER FİNANSAL KİRALAMA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141e536460141e92af0291568,-,-,
ŞEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c56faf888c01718864329b7097,-,,
ŞEKER YATIRIM MENKUL DEĞERLER A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241a25fcb0141a7c4a064241c,-,Yok,İşlem Görüyor
ŞEKERBANK T.A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c01412adc8fba04ee,-,Yok,İşlem Görüyor
ŞOK MARKETLER TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14184e9c9014198095f4442bf,ODAK,,
TAB GIDA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141e536460141e5aa84740938,A,"Yönetim Kurulu'na aday gösterme imtiyazı, oy imtiyazı",İşlem Görmüyor
TAPDİ OKSİJEN ÖZEL SAĞLIK VE EĞİTİM HİZMETLERİ SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c575a1b5b601773e8cc29d0b24,A,İmtiyazlı,İşlem Görmüyor
TARKİM BİTKİ KORUMA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c56eccfc0c016fae44264f6323,-,,
TAT GIDA SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f31089aa010a,-,Yok,İşlem Görüyor
TATLIPINAR ENERJİ ÜRETİM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c586d22c510189bf5827490281,A,Oy hakkı imtiyazı ve yönetim kuruluna aday gösterme imtiyazı,İşlem Görmüyor
TAV HAVALİMANLARI HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f31195ef010e,-,Yok,İşlem Görüyor
TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416effc1a04330,-,,
TEKFEN HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f31367840112,-,Yoktur,İşlem Görüyor
TEKNOSA İÇ VE DIŞ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef470140f31ac6aa006f,-,Yoktur.,İşlem Görüyor
TEMAPOL POLİMER PLASTİK VE İNŞAAT SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a246b4c5ad0148319a4a87518f,A,İZMTİYAZ VAR,Seçim Yapınız
TERA YATIRIM MENKUL DEĞERLER A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141733b56014178115f7e51e7,A,Yönetim Kurulu Üyelerinin belirlenmesi ve Oy Hakkı kullanımında imtiyaz,İşlem Görmüyor
TETAMAT GIDA YATIRIMLARI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241a25fcb0141a7c3f3302405,A,İmtiyazlı,İşlem Görmüyor
TGS DIŞ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed710140f3255bea009c,A,15 OY HAKKI,İşlem Görmüyor
TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed710140f328bed700a5,A,Yönetim Kurulu İmtiyazı,İşlem Görmüyor
TORUNLAR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1413b7ef5014144f83882011f,A,Yönetim Kurulu'na aday gösterme,İşlem Görmüyor
TRABZON LİMAN İŞLETMECİLİĞİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c45fc5ff9d0160e9391f3b05a4,A,1 pay 15 (onbeş) oy hakkına  sahiptir.,İşlem Görmüyor
TRABZONSPOR SPORTİF YATIRIM VE FUTBOL İŞLETMECİLİĞİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141da49e50141e0852f272b80,A,YÖNETİM KURULU ÜYELERİ (A) GRUBU PAY SAHİBİNİN GÖSTERECEĞİ ADAYLAR ARASINDAN SEÇİLİR.,İşlem Görmüyor
TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c45fc5ff9d01613299f17a2065,A,YÖNETİM KURULUNA ADAY GÖSTERME,İşlem Görmüyor
TSKB GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef470140f37174c600a7,A,Yönetim İmtiyazı,İşlem Görmüyor
TUĞÇELİK ALÜMİNYUM VE METAL MAMÜLLERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a146b4c4110147f3bb4e795ce5,A,YÖNETİM KURULU SEÇİMİNDE İMTİYAZ VE OY İMTİYAZI,İşlem Görmüyor
TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef470140f373b77f00ac,-,-,İşlem Görüyor
TURCAS PETROL A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9b01416005c65d3d53,A,İmtiyazsız,İşlem Görüyor
TUREKS TURİZM TAŞIMACILIK A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/402821824bf524dd014d7babc2134829,A,İmtiyazlı,İşlem Görmüyor
TUREKS TURUNÇ MADENCİLİK İÇ VE DIŞ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c45835eb6501593a986e7e57f7,A,,İşlem Görmüyor
TURK İLAÇ VE SERUM SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c575a1b5b601773ec6c0030b66,A,Genel Kurulda oy imtiyazı 1'e 5 oranında; Yönetim kurulunda aday gösterme imtiyazı bulunmaktadır.,İşlem Görmüyor
TURKCELL İLETİŞİM HİZMETLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1486ec80a0148c55510d71d31,A,"Yönetim Kurulu Üyelerinin Seçimine İlişkin Aday Gösterme İmtiyazı, Oyda İmtiyaz",İşlem Görmüyor
TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a141e536460141e53904b50025,A,"1 pay 15 (onbeş) oy hakkına ve 
Yönetim Kurulu üye seçiminde imtiyaza sahiptir.",İşlem Görmüyor
TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f37f139c01bc,A,,İşlem Görüyor
TÜRK HAVA YOLLARI A.O.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f376bebb01a7,A,,İşlem Görüyor
TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef470141167b777b0437,-,YOK,İşlem Görüyor
TÜRK TELEKOMÜNİKASYON A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241e538ab0141ea9c96912c8b,A,Yönetim ve Denetim Kurulu Üyeliğine Aday gösterme hakkına haiz,İşlem Görmüyor
TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f3790d6a01ad,A,yönetim,İşlem Görmüyor
TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f37b033601b2,-,YOKTUR,İşlem Görüyor
TÜRKER PROJE GAYRİMENKUL VE YATIRIM GELİŞTİRME A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f3440383018e,-,YOK,İşlem Görüyor
TÜRKİYE GARANTİ BANKASI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed720140f37cb2a601b7,-,yok,İşlem Görüyor
TÜRKİYE HALK BANKASI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/1DE05DAA82C3073AE0530A4A622A2EBD,-,Yoktur,İşlem Görüyor
TÜRKİYE İŞ BANKASI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201411682b0cb05c6,A,"Olağanüstü yedek akçelerden veya yasalara göre yapılacak değerlendirmelerden oluşacak kaynaklardan verilecek bedelsiz pay alımında 20 kat pay alımı, rüçhan hakkı kullanımında 20 kat hak kullanımı ve tasfiye işlemlerine ilişkin imtiyazı mevcuttur. Ayrıca, kar dağıtımında da imtiyazları bulunmaktadır.",İşlem Görüyor
TÜRKİYE KALKINMA VE YATIRIM BANKASI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14158e41e01415b2dc3476cf4,-,İmtiyaz Bulunmuyor,İşlem Görüyor
TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed710140f3831c6300fd,-,İmtiyazsız,İşlem Görüyor
TÜRKİYE SİGORTA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140e95be70140ee2f466d0159,-,Yok,İşlem Görüyor
TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed710140f385d5690102,-,-,İşlem Görüyor
TÜRKİYE VAKIFLAR BANKASI T.A.O.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1415f4d9b01415fe3340f36e4,A,Yönetim Kuruluna Aday Gösterme,İşlem Görmüyor
UFUK YATIRIM YÖNETİM VE GAYRİMENKUL A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24158e42201415afe28e760a4,-,,
ULAŞLAR TURİZM ENERJİ TARIM GIDA VE İNŞAAT YATIRIMLARI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c0140f38adfa1008d,A,Yönetim kurulu üye seçiminde aday gösterme(3/8),İşlem Görmüyor
ULUSAL FAKTORİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416f321c3d5ca7,A,,
ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24a069620014a341cfac83419,A,,
ULUSOY UN SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14371e09d0143c4d925022442,A,"Yönetim Kuruluna Aday Gösterme, Genel Kurul Toplantılarında Oyda İmtiyaz(1:15)",İşlem Görmüyor
UMPAŞ HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c0140f38be24f0091,-,,İşlem Görüyor
UŞAK SERAMİK SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/1DE05DAA843E073AE0530A4A622A2EBD,-,,İşlem Görüyor
ÜLKER BİSKÜVİ SANAYİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a14184e9c901419801438a422b,-,Yoktur.,İşlem Görüyor
ÜNLÜ YATIRIM HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a24bcf2bca014be9def2a47203,A,Genel Kurul'da oy imtiyazı ve Yönetiim Kurulu aday gösterme imtiyazı,İşlem Görmüyor
VAKIF FİNANSAL KİRALAMA A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241462fd801414fa81cce2e75,-,-,İşlem Görüyor
VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed72014101a0d3b501f7,A,Oy Hakkında İmtiyaz,İşlem Görmüyor
VAKIF MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a241462fd801414fa6227c2e62,-,imtiyaz yoktur,İşlem Görüyor
VAKKO TEKSTİL VE HAZIR GİYİM SANAYİ İŞLETMELERİ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2422d9a6e014251b075f0227f,-,,İşlem Görüyor
VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696301416ecfa3fb2ca4,A,1' e 15 oy hakkı. Yönetim Kurulu Üyelerinin yarısı A grubu pay sahiplerinin göstereceği adaylar arasından seçilir.,İşlem Görmüyor
VBT YAZILIM A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c4794d3648017a420bdd4c4fa3,A,"Yönetim Kurulu Üyelerinin yarısını belirleme , 1'e 5 oy hakkı imtiyazı",İşlem Görmüyor
VERA KONSEPT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/8acae2c486d22a3a018b27e15c37493e,A,Yönetim Kurulu Seçiminde Aday Gösterme İmtiyazı,İşlem Görmüyor
VERUSA HOLDİNG A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2422d9a78014275ba7f133b05,A,Genel Kurulda 15 Oy Hakkı ve Yönetim Kurulu Üyelerinin Yarısının Seçimi,İşlem Görmüyor
VERUSATURK GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2420327a4014209c59cc91457,A,Yönetim Kuruluna Aday Gösterme,İşlem Görmüyor
VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201412c223c9707e6,-,Yok,İşlem Görüyor
VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed7201412c2000c507db,-,Yok,İşlem Görüyor
VİKİNG KAĞIT VE SELÜLOZ A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed72014101a2d00a01fe,-,YOKTUR,İşlem Görüyor
YAPI VE KREDİ BANKASI A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a240f2ef4c01412ae6d6630538,-,Yok,İşlem Görüyor
YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a1416e696501416eec8e443d62,A,Yönetim Kuruluna Üye Atama,İşlem Görmüyor
YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a140f2ed72014106c48768022e,-,Yoktur,İşlem Görüyor
YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.,https://www.kap.org.tr/tr/sirket-bilgileri/genel/4028e4a2420a2daf014213d4625d3edc,A,Yönetim kurulu üye seçiminde aday gösterme imtiyaz bulunmaktadır. Yönetim Kurulu Başkanını seçme imtiyazı bulunmaktadır. Önemli Yönetim Kurulu Kararları'nda Veto Hakkı Genel kurulda bir pay için 5 oy imtiyazı bulunmaktadır. Önalım Hakkı,İşlem Görmüyor
