Unnamed: 0,SOZLESME_KODU,UZUNKOD,Underlying,Type,Strike,Expiry,Conversion,Future,MM,TARIH,varant_kapanis_fiyati,vadeli_kapanis_fiyati,varant_teminat,viop_teminat
0,AB1AM.V,AKBNKC3107240090.00IYF00000.1NA ,AKBNK,C,90.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.01,65.8,0.1,10.0
1,AB1AN.V,AKBNKC3107240080.00IYF00000.1NA ,AKBNK,C,80.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.01,65.8,0.1,10.0
2,AB1AO.V,AKBNKC3107240075.00IYF00000.1NA ,AKBNK,C,75.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.02,65.8,0.2,10.0
3,AB1AP.V,AKBNKC3107240065.00IYF00000.1NA ,AKBNK,C,65.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.13,65.8,1.3,10.0
4,AB1AQ.V,AKBNKC3107240060.00IYF00000.1NA ,AKBNK,C,60.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.52,65.8,5.2,10.0
5,AB1AR.V,AKBNKC2908240105.00IYF00000.1NA ,AKBNK,C,105.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.01,68.0,0.1,10.34
6,AB1AS.V,AKBNKC2908240090.00IYF00000.1NA ,AKBNK,C,90.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.05,68.0,0.5,10.34
7,AB1AT.V,AKBNKC2908240083.00IYF00000.1NA ,AKBNK,C,83.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.09,68.0,0.9,10.34
8,AB1AU.V,AKBNKC2908240075.00IYF00000.1NA ,AKBNK,C,75.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.23,68.0,2.3,10.34
9,AB1AV.V,AKBNKC2908240065.00IYF00000.1NA ,AKBNK,C,65.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.58,68.0,5.8,10.34
10,AB1AW.V,AKBNKC3009240100.00IYF00000.1NA ,AKBNK,C,100.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.08,70.91,0.8,10.78
11,AB1AX.V,AKBNKC3009240087.00IYF00000.1NA ,AKBNK,C,87.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.24,70.91,2.4,10.78
12,AB1AY.V,AKBNKC3009240080.00IYF00000.1NA ,AKBNK,C,80.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.36,70.91,3.6,10.78
13,AB1AZ.V,AKBNKC3009240070.00IYF00000.1NA ,AKBNK,C,70.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.69,70.91,6.9,10.78
14,AB1BA.V,AKBNKC3009240062.00IYF00000.1NA ,AKBNK,C,62.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,1.09,70.91,10.9,10.78
15,AB1PM.V,AKBNKP3107240075.00IYF00000.1NA ,AKBNK,P,75.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.97,65.8,9.7,10.0
16,AB1PN.V,AKBNKP3107240068.00IYF00000.1NA ,AKBNK,P,68.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.32,65.8,3.2,10.0
17,AB1PO.V,AKBNKP3107240060.00IYF00000.1NA ,AKBNK,P,60.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.04,65.8,0.4,10.0
18,AB1PP.V,AKBNKP3107240053.00IYF00000.1NA ,AKBNK,P,53.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.0,65.8,0.0,10.0
19,AB1PQ.V,AKBNKP3107240047.00IYF00000.1NA ,AKBNK,P,47.0,2024-07-31,0.1,F_AKBNK0724,IYF,2024-07-26,0.01,65.8,0.1,10.0
20,AB1PR.V,AKBNKP2908240072.00IYF00000.1NA ,AKBNK,P,72.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.65,68.0,6.5,10.34
21,AB1PS.V,AKBNKP2908240062.00IYF00000.1NA ,AKBNK,P,62.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.21,68.0,2.1,10.34
22,AB1PT.V,AKBNKP2908240056.00IYF00000.1NA ,AKBNK,P,56.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.09,68.0,0.9,10.34
23,AB1PU.V,AKBNKP2908240050.00IYF00000.1NA ,AKBNK,P,50.0,2024-08-29,0.1,F_AKBNK0824,IYF,2024-07-26,0.03,68.0,0.3,10.34
24,AB1PV.V,AKBNKP3009240068.00IYF00000.1NA ,AKBNK,P,68.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.48,70.91,4.8,10.78
25,AB1PW.V,AKBNKP3009240060.00IYF00000.1NA ,AKBNK,P,60.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.23,70.91,2.3,10.78
26,AB1PX.V,AKBNKP3009240053.00IYF00000.1NA ,AKBNK,P,53.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.1,70.91,1.0,10.78
27,AB1PY.V,AKBNKP3009240047.00IYF00000.1NA ,AKBNK,P,47.0,2024-09-30,0.1,F_AKBNK0924,IYF,2024-07-26,0.0,70.91,0.0,10.78
28,ABABY.V,AKBNKC3107240089.00AKM00000.1NA ,AKBNK,C,89.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.01,65.8,0.1,10.0
29,ABABZ.V,AKBNKC3107240079.00AKM00000.1NA ,AKBNK,C,79.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.05,65.8,0.5,10.0
30,ABACA.V,AKBNKC3107240071.00AKM00000.1NA ,AKBNK,C,71.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.03,65.8,0.3,10.0
31,ABACB.V,AKBNKC3107240064.00AKM00000.1NA ,AKBNK,C,64.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.3,65.8,3.0,10.0
32,ABACC.V,AKBNKC3107240057.00AKM00000.1NA ,AKBNK,C,57.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.96,65.8,9.6,10.0
33,ABACD.V,AKBNKC2908240094.00AKM00000.1NA ,AKBNK,C,94.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.06,68.0,0.6,10.34
34,ABACE.V,AKBNKC2908240084.00AKM00000.1NA ,AKBNK,C,84.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.11,68.0,1.1,10.34
35,ABACF.V,AKBNKC2908240074.00AKM00000.1NA ,AKBNK,C,74.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.26,68.0,2.6,10.34
36,ABACG.V,AKBNKC2908240066.00AKM00000.1NA ,AKBNK,C,66.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.6,68.0,6.0,10.34
37,ABACH.V,AKBNKC2908240059.00AKM00000.1NA ,AKBNK,C,59.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.0,68.0,0.0,10.34
38,ABACI.V,AKBNKC3009240110.00AKM00000.1NA ,AKBNK,C,110.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.13,70.91,1.3,10.78
39,ABACJ.V,AKBNKC3009240095.00AKM00000.1NA ,AKBNK,C,95.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.17,70.91,1.7,10.78
40,ABACK.V,AKBNKC3009240085.00AKM00000.1NA ,AKBNK,C,85.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.26,70.91,2.6,10.78
41,ABACL.V,AKBNKC3009240076.00AKM00000.1NA ,AKBNK,C,76.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.48,70.91,4.8,10.78
42,ABACM.V,AKBNKC3009240068.00AKM00000.1NA ,AKBNK,C,68.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.82,70.91,8.2,10.78
43,ABAQY.V,AKBNKP3107240038.00AKM00000.1NA ,AKBNK,P,38.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.0,65.8,0.0,10.0
44,ABAQZ.V,AKBNKP3107240044.00AKM00000.1NA ,AKBNK,P,44.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.0,65.8,0.0,10.0
45,ABARA.V,AKBNKP3107240049.00AKM00000.1NA ,AKBNK,P,49.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.03,65.8,0.3,10.0
46,ABARB.V,AKBNKP3107240055.00AKM00000.1NA ,AKBNK,P,55.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.02,65.8,0.2,10.0
47,ABARC.V,AKBNKP3107240061.00AKM00000.1NA ,AKBNK,P,61.0,2024-07-31,0.1,F_AKBNK0724,AKM,2024-07-26,0.05,65.8,0.5,10.0
48,ABARD.V,AKBNKP2908240043.00AKM00000.1NA ,AKBNK,P,43.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.05,68.0,0.5,10.34
49,ABARE.V,AKBNKP2908240047.00AKM00000.1NA ,AKBNK,P,47.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.05,68.0,0.5,10.34
50,ABARF.V,AKBNKP2908240051.00AKM00000.1NA ,AKBNK,P,51.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.08,68.0,0.8,10.34
51,ABARG.V,AKBNKP2908240057.00AKM00000.1NA ,AKBNK,P,57.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.0,68.0,0.0,10.34
52,ABARH.V,AKBNKP2908240062.00AKM00000.1NA ,AKBNK,P,62.0,2024-08-29,0.1,F_AKBNK0824,AKM,2024-07-26,0.26,68.0,2.6,10.34
53,ABARI.V,AKBNKP3009240045.00AKM00000.1NA ,AKBNK,P,45.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.0,70.91,0.0,10.78
54,ABARJ.V,AKBNKP3009240052.00AKM00000.1NA ,AKBNK,P,52.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.23,70.91,2.3,10.78
55,ABARK.V,AKBNKP3009240058.00AKM00000.1NA ,AKBNK,P,58.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.3,70.91,3.0,10.78
56,ABARL.V,AKBNKP3009240064.00AKM00000.1NA ,AKBNK,P,64.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.43,70.91,4.3,10.78
57,ABARM.V,AKBNKP3009240070.00AKM00000.1NA ,AKBNK,P,70.0,2024-09-30,0.1,F_AKBNK0924,AKM,2024-07-26,0.66,70.91,6.6,10.78
58,ABBCZ.V,AKBNKC3107240050.00BNP00000.2NA ,AKBNK,C,50.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,2.99,65.8,14.95,10.0
59,ABBDA.V,AKBNKC3107240055.00BNP00000.2NA ,AKBNK,C,55.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.0,65.8,0.0,10.0
60,ABBDB.V,AKBNKC3107240060.00BNP00000.2NA ,AKBNK,C,60.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,1.23,65.8,6.15,10.0
61,ABBDC.V,AKBNKC3107240062.00BNP00000.2NA ,AKBNK,C,62.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.77,65.8,3.85,10.0
62,ABBDD.V,AKBNKC3107240065.00BNP00000.2NA ,AKBNK,C,65.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.0,65.8,0.0,10.0
63,ABBDE.V,AKBNKC3107240067.00BNP00000.2NA ,AKBNK,C,67.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.21,65.8,1.05,10.0
64,ABBDF.V,AKBNKC3107240070.00BNP00000.2NA ,AKBNK,C,70.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.07,65.8,0.35,10.0
65,ABBDG.V,AKBNKC3107240075.00BNP00000.2NA ,AKBNK,C,75.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.05,65.8,0.25,10.0
66,ABBDH.V,AKBNKC3107240080.00BNP00000.2NA ,AKBNK,C,80.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.01,65.8,0.05,10.0
67,ABBDI.V,AKBNKC3107240090.00BNP00000.2NA ,AKBNK,C,90.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.01,65.8,0.05,10.0
68,ABBDJ.V,AKBNKC2908240050.00BNP00000.2NA ,AKBNK,C,50.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,3.42,68.0,17.1,10.34
69,ABBDK.V,AKBNKC2908240055.00BNP00000.2NA ,AKBNK,C,55.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.0,68.0,0.0,10.34
70,ABBDL.V,AKBNKC2908240060.00BNP00000.2NA ,AKBNK,C,60.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,1.83,68.0,9.15,10.34
71,ABBDM.V,AKBNKC2908240062.00BNP00000.2NA ,AKBNK,C,62.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,1.48,68.0,7.4,10.34
72,ABBDN.V,AKBNKC2908240065.00BNP00000.2NA ,AKBNK,C,65.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,1.26,68.0,6.3,10.34
73,ABBDO.V,AKBNKC2908240067.00BNP00000.2NA ,AKBNK,C,67.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.99,68.0,4.95,10.34
74,ABBDP.V,AKBNKC2908240070.00BNP00000.2NA ,AKBNK,C,70.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.77,68.0,3.85,10.34
75,ABBDQ.V,AKBNKC2908240075.00BNP00000.2NA ,AKBNK,C,75.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.0,68.0,0.0,10.34
76,ABBDR.V,AKBNKC2908240080.00BNP00000.2NA ,AKBNK,C,80.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.24,68.0,1.2,10.34
77,ABBDS.V,AKBNKC2908240090.00BNP00000.2NA ,AKBNK,C,90.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.09,68.0,0.45,10.34
78,ABBDT.V,AKBNKC3009240062.00BNP00000.2NA ,AKBNK,C,62.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
79,ABBDU.V,AKBNKC3009240065.00BNP00000.2NA ,AKBNK,C,65.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
80,ABBDV.V,AKBNKC3009240068.00BNP00000.2NA ,AKBNK,C,68.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
81,ABBDW.V,AKBNKC3009240070.00BNP00000.2NA ,AKBNK,C,70.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
82,ABBDX.V,AKBNKC3009240075.00BNP00000.2NA ,AKBNK,C,75.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
83,ABBDY.V,AKBNKC3009240080.00BNP00000.2NA ,AKBNK,C,80.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.61,70.91,3.05,10.78
84,ABBDZ.V,AKBNKC3009240085.00BNP00000.2NA ,AKBNK,C,85.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
85,ABBEA.V,AKBNKC3009240095.00BNP00000.2NA ,AKBNK,C,95.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
86,ABBEB.V,AKBNKC3009240100.00BNP00000.2NA ,AKBNK,C,100.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
87,ABBEC.V,AKBNKC3009240115.00BNP00000.2NA ,AKBNK,C,115.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
88,ABBQL.V,AKBNKP3107240065.00BNP00000.2NA ,AKBNK,P,65.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.23,65.8,1.15,10.0
89,ABBQM.V,AKBNKP3107240060.00BNP00000.2NA ,AKBNK,P,60.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.0,65.8,0.0,10.0
90,ABBQN.V,AKBNKP3107240055.00BNP00000.2NA ,AKBNK,P,55.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.0,65.8,0.0,10.0
91,ABBQO.V,AKBNKP3107240050.00BNP00000.2NA ,AKBNK,P,50.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.05,65.8,0.25,10.0
92,ABBQP.V,AKBNKP3107240040.00BNP00000.2NA ,AKBNK,P,40.0,2024-07-31,0.2,F_AKBNK0724,BNP,2024-07-26,0.0,65.8,0.0,10.0
93,ABBQQ.V,AKBNKP2908240065.00BNP00000.2NA ,AKBNK,P,65.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.0,68.0,0.0,10.34
94,ABBQR.V,AKBNKP2908240060.00BNP00000.2NA ,AKBNK,P,60.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.0,68.0,0.0,10.34
95,ABBQS.V,AKBNKP2908240055.00BNP00000.2NA ,AKBNK,P,55.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.0,68.0,0.0,10.34
96,ABBQT.V,AKBNKP2908240050.00BNP00000.2NA ,AKBNK,P,50.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.0,68.0,0.0,10.34
97,ABBQU.V,AKBNKP2908240040.00BNP00000.2NA ,AKBNK,P,40.0,2024-08-29,0.2,F_AKBNK0824,BNP,2024-07-26,0.0,68.0,0.0,10.34
98,ABBQV.V,AKBNKP3009240045.00BNP00000.2NA ,AKBNK,P,45.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
99,ABBQW.V,AKBNKP3009240055.00BNP00000.2NA ,AKBNK,P,55.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
100,ABBQX.V,AKBNKP3009240060.00BNP00000.2NA ,AKBNK,P,60.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
101,ABBQY.V,AKBNKP3009240065.00BNP00000.2NA ,AKBNK,P,65.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
102,ABBQZ.V,AKBNKP3009240075.00BNP00000.2NA ,AKBNK,P,75.0,2024-09-30,0.2,F_AKBNK0924,BNP,2024-07-26,0.0,70.91,0.0,10.78
103,ABSFV.V,AKBNKC3107240069.50GSI00000.1NA ,AKBNK,C,69.5,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.05,65.8,0.5,10.0
104,ABSFW.V,AKBNKC3107240071.00GSI00000.1NA ,AKBNK,C,71.0,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
105,ABSFX.V,AKBNKC3107240076.90GSI00000.1NA ,AKBNK,C,76.9,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
106,ABSFY.V,AKBNKC3107240079.90GSI00000.1NA ,AKBNK,C,79.9,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.01,65.8,0.1,10.0
107,ABSFZ.V,AKBNKC3107240082.80GSI00000.1NA ,AKBNK,C,82.8,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
108,ABSGA.V,AKBNKC3107240085.80GSI00000.1NA ,AKBNK,C,85.8,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
109,ABSGB.V,AKBNKC3107240059.10GSI00000.1NA ,AKBNK,C,59.1,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
110,ABSGC.V,AKBNKC3107240062.10GSI00000.1NA ,AKBNK,C,62.1,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.37,65.8,3.7,10.0
111,ABSGD.V,AKBNKC2908240075.00GSI00000.1NA ,AKBNK,C,75.0,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.23,68.0,2.3,10.34
112,ABSGE.V,AKBNKC2908240076.60GSI00000.1NA ,AKBNK,C,76.6,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.22,68.0,2.2,10.34
113,ABSGF.V,AKBNKC2908240082.90GSI00000.1NA ,AKBNK,C,82.9,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.0,68.0,0.0,10.34
114,ABSGG.V,AKBNKC2908240086.10GSI00000.1NA ,AKBNK,C,86.1,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.0,68.0,0.0,10.34
115,ABSGH.V,AKBNKC2908240089.30GSI00000.1NA ,AKBNK,C,89.3,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.09,68.0,0.9,10.34
116,ABSGI.V,AKBNKC2908240092.50GSI00000.1NA ,AKBNK,C,92.5,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.0,68.0,0.0,10.34
117,ABSGJ.V,AKBNKC2908240063.80GSI00000.1NA ,AKBNK,C,63.8,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.0,68.0,0.0,10.34
118,ABSGK.V,AKBNKC2908240067.00GSI00000.1NA ,AKBNK,C,67.0,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.0,68.0,0.0,10.34
119,ABSGL.V,AKBNKC3009240078.40GSI00000.1NA ,AKBNK,C,78.4,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
120,ABSGM.V,AKBNKC3009240080.00GSI00000.1NA ,AKBNK,C,80.0,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
121,ABSGN.V,AKBNKC3009240086.70GSI00000.1NA ,AKBNK,C,86.7,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
122,ABSGO.V,AKBNKC3009240090.00GSI00000.1NA ,AKBNK,C,90.0,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
123,ABSGP.V,AKBNKC3009240093.40GSI00000.1NA ,AKBNK,C,93.4,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
124,ABSGQ.V,AKBNKC3009240096.70GSI00000.1NA ,AKBNK,C,96.7,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
125,ABSGR.V,AKBNKC3009240066.70GSI00000.1NA ,AKBNK,C,66.7,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
126,ABSGS.V,AKBNKC3009240070.00GSI00000.1NA ,AKBNK,C,70.0,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
127,ABSSD.V,AKBNKP3107240053.20GSI00000.1NA ,AKBNK,P,53.2,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
128,ABSSE.V,AKBNKP3107240052.10GSI00000.1NA ,AKBNK,P,52.1,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
129,ABSSF.V,AKBNKP3107240050.30GSI00000.1NA ,AKBNK,P,50.3,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.01,65.8,0.1,10.0
130,ABSSG.V,AKBNKP3107240047.30GSI00000.1NA ,AKBNK,P,47.3,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
131,ABSSH.V,AKBNKP3107240059.10GSI00000.1NA ,AKBNK,P,59.1,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
132,ABSSI.V,AKBNKP3107240057.70GSI00000.1NA ,AKBNK,P,57.7,2024-07-31,0.1,F_AKBNK0724,GSI,2024-07-26,0.0,65.8,0.0,10.0
133,ABSSJ.V,AKBNKP2908240057.40GSI00000.1NA ,AKBNK,P,57.4,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.0,68.0,0.0,10.34
134,ABSSK.V,AKBNKP2908240056.10GSI00000.1NA ,AKBNK,P,56.1,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.13,68.0,1.3,10.34
135,ABSSL.V,AKBNKP2908240054.20GSI00000.1NA ,AKBNK,P,54.2,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.0,68.0,0.0,10.34
136,ABSSM.V,AKBNKP2908240051.00GSI00000.1NA ,AKBNK,P,51.0,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.06,68.0,0.6,10.34
137,ABSSN.V,AKBNKP2908240063.80GSI00000.1NA ,AKBNK,P,63.8,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.0,68.0,0.0,10.34
138,ABSSO.V,AKBNKP2908240062.20GSI00000.1NA ,AKBNK,P,62.2,2024-08-29,0.1,F_AKBNK0824,GSI,2024-07-26,0.0,68.0,0.0,10.34
139,ABSSP.V,AKBNKP3009240060.00GSI00000.1NA ,AKBNK,P,60.0,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
140,ABSSQ.V,AKBNKP3009240058.70GSI00000.1NA ,AKBNK,P,58.7,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
141,ABSSR.V,AKBNKP3009240056.70GSI00000.1NA ,AKBNK,P,56.7,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
142,ABSSS.V,AKBNKP3009240053.40GSI00000.1NA ,AKBNK,P,53.4,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
143,ABSST.V,AKBNKP3009240066.70GSI00000.1NA ,AKBNK,P,66.7,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.48,70.91,4.8,10.78
144,ABSSU.V,AKBNKP3009240065.00GSI00000.1NA ,AKBNK,P,65.0,2024-09-30,0.1,F_AKBNK0924,GSI,2024-07-26,0.0,70.91,0.0,10.78
145,AEICD.V,ASELSC3107240064.00IYM00000.2NA ,ASELS,C,64.0,2024-07-31,0.2,F_ASELS0724,IYM,2024-07-26,0.15,64.89,0.75,9.6
146,AEICE.V,ASELSC3107240071.00IYM00000.2NA ,ASELS,C,71.0,2024-07-31,0.2,F_ASELS0724,IYM,2024-07-26,0.02,64.89,0.1,9.6
147,AEICF.V,ASELSC3107240077.00IYM00000.2NA ,ASELS,C,77.0,2024-07-31,0.2,F_ASELS0724,IYM,2024-07-26,0.01,64.89,0.05,9.6
148,AEICG.V,ASELSC3107240090.00IYM00000.2NA ,ASELS,C,90.0,2024-07-31,0.2,F_ASELS0724,IYM,2024-07-26,0.02,64.89,0.1,9.6
