EQUITY CODE,INDICES,SOZLESME KODU,BIST 30,BIST 50,BIST 100
ISCTR.E,BIST 30,"F_ISCTR0125, F_ISCTR0225, F_ISCTR0325",1,1,1
ISMEN.E,BIST 100,,0,0,1
KARSN.E,BIST 100,,0,0,1
KCAER.E,BIST 100,,0,0,1
KCHOL.E,BIST 30,"F_KCHOL0125, F_KCHOL0225, F_KCHOL0325",1,1,1
KLSER.E,BIST 100,,0,0,1
KONTR.E,BIST 30,"F_KONTR0125, F_KONTR0225, F_KONTR0325",1,1,1
KONYA.E,BIST 100,,0,0,1
KOZAA.E,BIST 100,"F_KOZAA0125, F_KOZAA0225, F_KOZAA0325",0,0,1
KOZAL.E,BIST 30,"F_KOZAL0125, F_KOZAL0225, F_KOZAL0325",1,1,1
KRDMD.E,BIST 30,"F_KRDMD0125, F_KRDMD0225, F_KRDMD0325",1,1,1
LIDER.E,BIST 100,,0,0,1
MAGEN.E,BIST 100,,0,0,1
MAVI.E,BIST 50,,0,1,1
MGROS.E,BIST 30,"F_MGROS0125, F_MGROS0225, F_MGROS0325",1,1,1
MIATK.E,BIST 50,,0,1,1
MPARK.E,BIST 100,,0,0,1
NTHOL.E,BIST 100,,0,0,1
ODAS.E,BIST 50,"F_ODAS0125, F_ODAS0225, F_ODAS0325",0,1,1
OTKAR.E,BIST 100,,0,0,1
OYAKC.E,BIST 50,"F_OYAKC0125N1, F_OYAKC0225N1, F_OYAKC0325",0,1,1
PASEU.E,BIST 100,,0,0,1
PETKM.E,BIST 30,"F_PETKM0125, F_PETKM0225, F_PETKM0325",1,1,1
PGSUS.E,BIST 30,"F_PGSUS0125, F_PGSUS0225, F_PGSUS0325",1,1,1
REEDR.E,BIST 50,,0,1,1
SAHOL.E,BIST 30,"F_SAHOL0125, F_SAHOL0225, F_SAHOL0325",1,1,1
SASA.E,BIST 30,"F_SASA0125, F_SASA0225, F_SASA0325",1,1,1
SDTTR.E,BIST 100,,0,0,1
SELEC.E,BIST 100,,0,0,1
SISE.E,BIST 30,"F_SISE0125, F_SISE0225, F_SISE0325",1,1,1
SKBNK.E,BIST 100,,0,0,1
SMRTG.E,BIST 100,,0,0,1
SOKM.E,BIST 50,"F_SOKM0125, F_SOKM0225, F_SOKM0325",0,1,1
TABGD.E,BIST 100,,0,0,1
