DAYANAK VARLIK
AEFES
AKBNK
AKSEN
ALARK
ARCLK
ASELS
ASTOR
BIMAS
BRSAN
CIMSA
DOAS
DOHOL
EKGYO
ENJSA
ENKAI
EREGL
FROTO
GARAN
GUBRF
HALKB
HEKTS
ISCTR
KCHOL
KONTR
KOZAA
KOZAL
KRDMD
MGROS
ODAS
OYAKC
PETKM
PGSUS
SAHOL
SASA
SISE
SOKM
TAVHL
TCELL
THYAO
TKFEN
TOASO
TSKB
TTKOM
TUPRS
VAKBN
VESTL
YKBNK
