index,exchange,symbol,timestamp,local_timestamp,matchId,orderId,side,price,amount,askPrice,askQty,bidPrice,bidQty,state
0,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839644,7829370530416987887,B,8.040,614,8.050,73927,8.040,42998,P_SUREKLI_ISLEM
1,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839645,7829370530416987912,B,8.040,1500,8.050,73927,8.040,41498,P_SUREKLI_ISLEM
2,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839646,7829370530416988183,B,8.040,16,8.050,73927,8.040,41482,P_SUREKLI_ISLEM
3,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839647,7829370530416989113,B,8.040,4,8.050,73927,8.040,41478,P_SUREKLI_ISLEM
4,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839648,7829370530416989536,B,8.040,50,8.050,73927,8.040,41428,P_SUREKLI_ISLEM
5,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839649,7829370530416989878,B,8.040,100,8.050,73927,8.040,41328,P_SUREKLI_ISLEM
6,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839650,7829370530416990028,B,8.040,111,8.050,73927,8.040,41217,P_SUREKLI_ISLEM
7,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839651,7829370530416991320,B,8.040,200,8.050,73927,8.040,41017,P_SUREKLI_ISLEM
8,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839652,7829370530416991666,B,8.040,20,8.050,73927,8.040,40997,P_SUREKLI_ISLEM
9,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839653,7829370530416992534,B,8.040,10,8.050,73927,8.040,40987,P_SUREKLI_ISLEM
10,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839654,7829370530416995050,B,8.040,1,8.050,73927,8.040,40986,P_SUREKLI_ISLEM
11,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839655,7829370530416996100,B,8.040,250,8.050,73927,8.040,40736,P_SUREKLI_ISLEM
12,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839656,7829370530416996492,B,8.040,10,8.050,73927,8.040,40726,P_SUREKLI_ISLEM
13,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839657,7829370530416996624,B,8.040,172,8.050,73927,8.040,40554,P_SUREKLI_ISLEM
14,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839658,7829370530416996923,B,8.040,250,8.050,73927,8.040,40304,P_SUREKLI_ISLEM
15,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839659,7829370530416997090,B,8.040,4,8.050,73927,8.040,40300,P_SUREKLI_ISLEM
16,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839660,7829370530416998764,B,8.040,146,8.050,73927,8.040,40154,P_SUREKLI_ISLEM
17,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839661,7829370530416998901,B,8.040,1,8.050,73927,8.040,40153,P_SUREKLI_ISLEM
18,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839662,7829370530416999330,B,8.040,1,8.050,73927,8.040,40152,P_SUREKLI_ISLEM
19,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839663,7829370530416999722,B,8.040,4,8.050,73927,8.040,40148,P_SUREKLI_ISLEM
20,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839664,7829370530417001329,B,8.040,40,8.050,73927,8.040,40108,P_SUREKLI_ISLEM
21,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839665,7829370530417002080,B,8.040,2,8.050,73927,8.040,40106,P_SUREKLI_ISLEM
22,bist,TSKB.E,1709017200103153656,1709017200103153656,782936958551839666,7829370530417002433,B,8.040,10,8.050,73927,8.040,40096,P_SUREKLI_ISLEM
